date,code,open,high,low,close,volume,amount,turn,pctChg,peTTM,psTTM,pcfNcfTTM
2022-04-19,sh.600036,42.0,42.75,41.4,42.1,250477022,10505571111.1,1.2142,-0.02973,8.853717,3.205271,4.264695
2022-04-20,sh.600036,41.8,41.98,40.9,41.1,131826851,5440590528.27,0.639,-0.023753000000000003,8.643415,3.129136,4.163396
2022-04-21,sh.600036,40.7,42.1,40.6,41.28,114350098,4747988004.46,0.5543,0.00438,8.681270,3.142840,4.181630
2022-04-22,sh.600036,40.66,42.97,40.65,42.5,119533984,5041291328.19,0.5794,0.029554,8.937838,3.235724,4.305215
2022-04-25,sh.600036,40.38,40.95,38.72,38.83,236874515,9367538010.05,1.1483,-0.08635300000000001,7.901997,2.893086,30.890373
2022-04-26,sh.600036,38.86,39.16,37.6,38.41,145471877,5605383080.66,0.7052,-0.010816,7.816526,2.861794,30.556251
2022-04-27,sh.600036,37.83,38.63,37.61,38.04,154620795,5867256791.19,0.7495,-0.009633000000000001,7.741230,2.834226,30.261905
2022-04-28,sh.600036,38.06,40.08,37.95,39.62,156452310,6124749761.43,0.7584,0.041535,8.062764,2.951947,31.518841
2022-04-29,sh.600036,39.1,40.21,38.72,39.93,123692861,4884561443.35,0.5996,0.007824,8.125850,2.975044,31.765454
2022-05-05,sh.600036,39.66,40.18,39.02,39.26,94425132,3712525675.86,0.4577,-0.016779,7.989503,2.925124,31.232450
2022-05-06,sh.600036,38.7,38.75,37.9,37.91,88945545,3392746138.56,0.4312,-0.034386,7.714775,2.824540,30.158487
2022-05-09,sh.600036,37.8,37.82,36.15,36.47,125240592,4603133910.59,0.6071,-0.037985000000000005,7.421732,2.717251,29.012926
2022-05-10,sh.600036,35.98,37.16,35.26,36.98,121763735,4424738770.82,0.5903,0.013984000000000002,7.525518,2.755249,29.418645
2022-05-11,sh.600036,36.83,37.56,36.6,37.21,87239856,3245600405.22,0.4229,0.00622,7.572323,2.772386,29.601617
2022-05-12,sh.600036,36.8,37.06,36.43,36.61,63002311,2309969909.25,0.3054,-0.016125,7.450222,2.727682,29.124300
2022-05-13,sh.600036,36.98,37.6,36.9,37.15,70130077,2610117535.19,0.34,0.014750000000000001,7.560113,2.767916,29.553885
2022-05-16,sh.600036,37.13,37.13,36.44,36.89,64474236,2373534396.28,0.3125,-0.006999,7.507203,2.748544,29.347048
2022-05-17,sh.600036,37.36,38.63,37.36,38.6,118395443,4517008501.39,0.5739,0.046354,7.855192,2.875950,30.707401
2022-05-18,sh.600036,39.0,39.08,37.9,38.5,88775539,3406772014.47,0.4303,-0.002591,7.834841,2.868499,30.627849
2022-05-19,sh.600036,37.89,38.25,37.52,38.03,54201095,2054604083.71,0.2627,-0.012208000000000002,7.739195,2.833481,30.253950
2022-05-20,sh.600036,38.75,40.18,38.75,39.96,133887244,5296502626.63,0.649,0.050749,8.131955,2.977279,31.789320
